name,date,time,venue,url
Maine Mariners vs TBA,2025-05-27,19:00:00,Cross Insurance Arena,
Coheed and Cambria * Mastodon :: The Infinite Arc Tour,2025-05-28,18:30:00,Cross Insurance Arena ,https://www.ticketmaster.com/coheed-and-cambria-mastodon-the-infinite-portland-maine-05-28-2025/event/01006185C9586EFC
Vampire Weekend,2025-05-29,19:00:00,Thompson's Point,https://www.ticketmaster.com/vampire-weekend-portland-maine-05-29-2025/event/01006252F00F69A4
Maine Mariners vs TBA,2025-05-30,19:15:00,Cross Insurance Arena,
Old Port Historic Walking Tour,2025-05-31,11:00:00,Monument Square,https://www.ticketweb.com/event/old-port-historic-walking-tour-monument-square-tickets/14315673
Portland Hearts of Pine vs. Detroit City FC,2025-05-31,17:00:00,Fitzpatrick Stadium,https://www.ticketmaster.com/event/Z7r9jZ1A7fUCe
Maine Mariners vs TBA,2025-05-31,18:00:00,Cross Insurance Arena,
Maine Mariners vs TBA,2025-06-01,15:00:00,Cross Insurance Arena,
Sunny Day Real Estate - Tour 2025,2025-06-01,19:30:00,State Theatre,https://www.ticketmaster.com/sunny-day-real-estate-tour-2025-portland-maine-06-01-2025/event/01006266E4D261DB
Portland Sea Dogs vs. Hartford Yard Goats,2025-06-03,18:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73eoV
JPEGMAFIA,2025-06-03,20:00:00,State Theatre,https://www.ticketmaster.com/jpegmafia-portland-maine-06-03-2025/event/01006271C89E3AFE
Portland Sea Dogs vs. Hartford Yard Goats,2025-06-04,18:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73eog
JACK'S MANNEQUIN - THE MFEO TOUR,2025-06-04,20:00:00,State Theatre,https://www.ticketmaster.com/jacks-mannequin-the-mfeo-tour-portland-maine-06-04-2025/event/01006236BC163C6C
Portland Sea Dogs vs. Hartford Yard Goats,2025-06-05,11:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73eoU
Maine Mariners vs TBA,2025-06-05,19:00:00,Cross Insurance Arena,
Simple Plan,2025-06-05,20:00:00,State Theatre,https://www.ticketmaster.com/simple-plan-portland-maine-06-05-2025/event/0100624A09BBAB9E
Portland Sea Dogs vs. Hartford Yard Goats,2025-06-06,18:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73eoM
Maine Mariners vs TBA,2025-06-06,19:15:00,Cross Insurance Arena,
The Moth Mainstage,2025-06-06,19:30:00,State Theatre,https://www.ticketmaster.com/the-moth-mainstage-portland-maine-06-06-2025/event/01006192E8F14DD5
WALLOWS - Model & More Tour,2025-06-06,19:30:00,Thompson's Point,https://www.ticketmaster.com/wallows-model-more-tour-portland-maine-06-06-2025/event/01006194C0B25044
The Kills,2025-06-06,20:00:00,Aura,https://www.ticketmaster.com/the-kills-portland-maine-06-06-2025/event/0100624B9C812570
Old Port Historic Walking Tour,2025-06-07,11:00:00,Monument Square,https://www.ticketweb.com/event/old-port-historic-walking-tour-monument-square-tickets/14315693
Portland Sea Dogs vs. Hartford Yard Goats,2025-06-07,18:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73eoz
The Martin Sexton Abbey Road Show,2025-06-07,21:00:00,Aura,https://www.ticketmaster.com/the-martin-sexton-abbey-road-show-portland-maine-06-07-2025/event/01006228870F0D0E
Portland Sea Dogs vs. Hartford Yard Goats,2025-06-08,13:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73eoy
Old Port Historic Walking Tour,2025-06-11,11:00:00,Monument Square,https://www.ticketweb.com/event/old-port-historic-walking-tour-monument-square-tickets/14354183
The String Cheese Incident,2025-06-12,19:00:00,Thompson's Point,https://www.ticketmaster.com/the-string-cheese-incident-portland-maine-06-12-2025/event/0100624D9D1C3BBB
Clutch,2025-06-13,19:30:00,State Theatre,https://www.ticketmaster.com/clutch-portland-maine-06-13-2025/event/0100623DA6904A0E
Old Port Historic Walking Tour,2025-06-14,11:00:00,Monument Square,https://www.ticketweb.com/event/old-port-historic-walking-tour-monument-square-tickets/14315713
Maine Mariners vs TBA,2025-06-14,18:00:00,Cross Insurance Arena,
Father's Day Pro Boxing Classic,2025-06-14,18:30:00,Cross Insurance Arena ,https://www.ticketmaster.com/fathers-day-pro-boxing-classic-portland-maine-06-14-2025/event/0100628ADC7756B2
Foreigners Journey,2025-06-14,21:00:00,Aura,https://www.ticketmaster.com/foreigners-journey-portland-maine-06-14-2025/event/0100625AB7E35A9E
Old Port Historic Walking Tour,2025-06-15,11:00:00,Monument Square,https://www.ticketweb.com/event/old-port-historic-walking-tour-monument-square-tickets/14354253
Maine Mariners vs TBA,2025-06-15,15:00:00,Cross Insurance Arena,
Portland Hearts of Pine vs. Union Omaha,2025-06-15,18:00:00,Fitzpatrick Stadium,https://www.ticketmaster.com/event/Z7r9jZ1A7fUCd
Portland Sea Dogs vs. Akron RubberDucks,2025-06-17,18:20:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73e3Z
Dvoraks New World Symphony - Portland Symphony Orchestra,2025-06-17,19:00:00,Merrill Auditorium,https://www.ticketmaster.com/event/Z7r9jZ1A7GNfe
Portland Sea Dogs vs. Akron RubberDucks,2025-06-18,18:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73e3v
Portland Sea Dogs vs. Akron RubberDucks,2025-06-19,18:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73e3e
Mt. Joy - Hope We Have Fun Tour,2025-06-19,19:30:00,Thompson's Point,https://www.ticketmaster.com/mt-joy-hope-we-have-fun-portland-maine-06-19-2025/event/01006179E80F48F8
Mamma Mania! -  NYCs Premier ABBA Tribute,2025-06-19,20:00:00,Aura,https://www.ticketmaster.com/mamma-mania-nycs-premier-abba-tribute-portland-maine-06-19-2025/event/0100624C973334D7
Portland Sea Dogs vs. Akron RubberDucks,2025-06-20,18:20:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73e3d
Reverend Horton Heat,2025-06-20,21:00:00,Aura,https://www.ticketmaster.com/reverend-horton-heat-portland-maine-06-20-2025/event/01006227A5AB17E7
Old Port Historic Walking Tour,2025-06-21,11:00:00,Monument Square,https://www.ticketweb.com/event/old-port-historic-walking-tour-monument-square-tickets/14315683
Portland Sea Dogs vs. Akron RubberDucks,2025-06-21,18:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73e37
Big GAY Dance Party,2025-06-21,19:00:00,State Theatre,https://www.ticketmaster.com/big-gay-dance-party-portland-maine-06-21-2025/event/0100626DC1F55935
Jon Stewart - 16+,2025-06-21,19:30:00,Merrill Auditorium,https://www.ticketmaster.com/event/Z7r9jZ1A74k7Z
An Evening with Jon Stewart,2025-06-21,19:30:00,Merrill Auditorium,https://porttix.com/whats-on/jon-stewart
Portland Pride 2025,2025-06-21,20:00:00,Aura,https://www.ticketmaster.com/portland-pride-2025-portland-maine-06-21-2025/event/01006271B05C2B7B
Portland Sea Dogs vs. Akron RubberDucks,2025-06-22,13:00:00,Hadlock Field,https://www.ticketmaster.com/event/Z7r9jZ1A73e3A
